"","geoID","tractCE","nameLSAD","pctUnins","pctUnins_Low","pctUnins_High"
"96",29510115200,115200,"Census Tract 1152",29.6,26.3,32.7
"97",29510108200,108200,"Census Tract 1082",21.4,17.4,25.4
"98",29510108300,108300,"Census Tract 1083",26.5,23.2,29.9
"99",29510112400,112400,"Census Tract 1124",11.2,9,13.9
"100",29510115300,115300,"Census Tract 1153",25.9,22.8,29
"101",29510117200,117200,"Census Tract 1172",15.7,12.7,19.2
"102",29510102300,102300,"Census Tract 1023",14.3,12,16.7
"103",29510109700,109700,"Census Tract 1097",32.6,28.3,37.2
"104",29510102400,102400,"Census Tract 1024",17.9,14.9,21.2
"105",29510106200,106200,"Census Tract 1062",36.1,31.6,40.5
"106",29510109600,109600,"Census Tract 1096",25.6,21.9,29.5
